"","x"
"991",981090
"992",983072
"993",985056
"994",987042
"995",989030
"996",991020
"997",993012
"998",995006
"999",997002
"1000",999000
"1001",1001000
"1002",1003002
"1003",1005006
"1004",1007012
"1005",1009020
"1006",1011030
"1007",1013042
"1008",1015056
"1009",1017072
"1010",1019090
"1011",1021110
"1012",1023132
"1013",1025156
"1014",1027182
"1015",1029210
"1016",1031240
"1017",1033272
"1018",1035306
"1019",1037342
"1020",1039380
"1021",1041420
"1022",1043462
"1023",1045506
"1024",1047552
"1025",1049600
"1026",1051650
"1027",1053702
"1028",1055756
"1029",1057812
"1030",1059870
"1031",1061930
"1032",1063992
"1033",1066056
"1034",1068122
"1035",1070190
"1036",1072260
"1037",1074332
"1038",1076406
"1039",1078482
"1040",1080560
"1041",1082640
"1042",1084722
"1043",1086806
"1044",1088892
"1045",1090980
"1046",1093070
"1047",1095162
"1048",1097256
"1049",1099352
"1050",1101450
"1051",1103550
"1052",1105652
"1053",1107756
"1054",1109862
"1055",1111970
"1056",1114080
"1057",1116192
"1058",1118306
"1059",1120422
"1060",1122540
"1061",1124660
"1062",1126782
"1063",1128906
"1064",1131032
"1065",1133160
"1066",1135290
"1067",1137422
"1068",1139556
"1069",1141692
"1070",1143830
"1071",1145970
"1072",1148112
"1073",1150256
"1074",1152402
"1075",1154550
"1076",1156700
"1077",1158852
"1078",1161006
"1079",1163162
"1080",1165320
"1081",1167480
"1082",1169642
"1083",1171806
"1084",1173972
"1085",1176140
"1086",1178310
"1087",1180482
"1088",1182656
"1089",1184832
"1090",1187010
"1091",1189190
"1092",1191372
"1093",1193556
"1094",1195742
"1095",1197930
"1096",1200120
"1097",1202312
"1098",1204506
"1099",1206702
"1100",1208900
"1101",1211100
"1102",1213302
"1103",1215506
"1104",1217712
"1105",1219920
"1106",1222130
"1107",1224342
"1108",1226556
"1109",1228772
"1110",1230990
"1111",1233210
"1112",1235432
"1113",1237656
"1114",1239882
"1115",1242110
"1116",1244340
"1117",1246572
"1118",1248806
"1119",1251042
"1120",1253280
"1121",1255520
"1122",1257762
"1123",1260006
"1124",1262252
"1125",1264500
"1126",1266750
"1127",1269002
"1128",1271256
"1129",1273512
"1130",1275770
"1131",1278030
"1132",1280292
"1133",1282556
"1134",1284822
"1135",1287090
"1136",1289360
"1137",1291632
"1138",1293906
"1139",1296182
"1140",1298460
"1141",1300740
"1142",1303022
"1143",1305306
"1144",1307592
"1145",1309880
"1146",1312170
"1147",1314462
"1148",1316756
"1149",1319052
"1150",1321350
"1151",1323650
"1152",1325952
"1153",1328256
"1154",1330562
"1155",1332870
"1156",1335180
"1157",1337492
"1158",1339806
"1159",1342122
"1160",1344440
"1161",1346760
"1162",1349082
"1163",1351406
"1164",1353732
"1165",1356060
"1166",1358390
"1167",1360722
"1168",1363056
"1169",1365392
"1170",1367730
"1171",1370070
"1172",1372412
"1173",1374756
"1174",1377102
"1175",1379450
"1176",1381800
"1177",1384152
"1178",1386506
"1179",1388862
"1180",1391220
"1181",1393580
"1182",1395942
"1183",1398306
"1184",1400672
"1185",1403040
"1186",1405410
"1187",1407782
"1188",1410156
"1189",1412532
"1190",1414910
"1191",1417290
"1192",1419672
"1193",1422056
"1194",1424442
"1195",1426830
"1196",1429220
"1197",1431612
"1198",1434006
"1199",1436402
"1200",1438800
"1201",1441200
"1202",1443602
"1203",1446006
"1204",1448412
"1205",1450820
"1206",1453230
"1207",1455642
"1208",1458056
"1209",1460472
"1210",1462890
"1211",1465310
"1212",1467732
