"","x"
"1",NA
"2",0.38
"3",0.4
"4",0.36
"5",0.36
"6",0.37
"7",0.29
"8",0.28
"9",0.29
"10",0.28
"11",0.299999999999999
"12",0.28
"13",0.33
"14",0.36
"15",0.359999999999999
"16",0.350000000000001
"17",0.41
"18",0.409999999999999
"19",0.4
"20",0.38
"21",0.390000000000001
"22",0.39
"23",0.42
"24",0.390000000000001
"25",0.399999999999999
"26",0.380000000000001
"27",0.390000000000001
"28",0.4
"29",0.409999999999998
"30",0.390000000000001
"31",0.43
"32",0.43
"33",0.4
"34",0.42
"35",0.41
"36",0.42
"37",0.440000000000001
"38",0.43
"39",0.41
"40",0.44
"41",0.430000000000001
"42",0.439999999999998
"43",0.440000000000001
"44",0.419999999999998
"45",0.450000000000003
"46",0.419999999999998
"47",0.449999999999999
"48",0.460000000000001
"49",0.449999999999999
"50",0.449999999999999
"51",0.440000000000001
"52",0.469999999999999
"53",0.450000000000003
"54",0.479999999999997
"55",0.470000000000002
"56",0.469999999999999
"57",0.48
"58",0.5
"59",0.390000000000001
"60",0.419999999999998
"61",0.41
"62",0.460000000000001
"63",0.41
"64",0.390000000000001
"65",0.419999999999998
"66",0.41
"67",0.470000000000002
"68",0.419999999999998
"69",0.420000000000002
"70",0.449999999999999
"71",0.440000000000001
"72",0.399999999999999
"73",0.440000000000001
"74",0.469999999999999
"75",0.449999999999999
"76",0.469999999999999
"77",0.450000000000003
"78",0.479999999999997
"79",0.550000000000004
"80",0.559999999999995
"81",0.480000000000004
"82",0.5
"83",0.489999999999995
"84",0.530000000000001
"85",0.5
"86",0.5
"87",0.510000000000005
"88",0.529999999999994
"89",0.530000000000001
"90",0.530000000000001
"91",0.550000000000004
"92",0.539999999999999
"93",0.549999999999997
"94",0.619999999999997
"95",0.68
"96",0.670000000000002
"97",0.700000000000003
"98",0.649999999999999
"99",0.670000000000002
"100",0.719999999999999
"101",0.700000000000003
"102",0.709999999999994
"103",0.710000000000001
"104",0.710000000000001
"105",0.710000000000001
"106",0.75
"107",0.75
"108",0.75
"109",0.75
"110",0.759999999999998
"111",0.780000000000001
"112",0.780000000000001
"113",0.799999999999997
"114",0.780000000000001
"115",0.810000000000002
"116",0.829999999999998
"117",0.82
"118",0.850000000000001
"119",0.850000000000001
"120",0.710000000000001
"121",0.739999999999995
"122",0.75
"123",0.780000000000001
"124",0.75
"125",0.780000000000001
"126",0.780000000000001
"127",0.799999999999997
"128",0.810000000000002
"129",0.829999999999998
"130",0.810000000000002
"131",0.840000000000003
"132",0.839999999999989
"133",0.830000000000013
"134",0.829999999999998
"135",0.86999999999999
"136",0.870000000000005
"137",0.879999999999995
"138",0.890000000000001
"139",0.900000000000006
"140",0.920000000000002
"141",0.909999999999997
"142",0.950000000000003
"143",0.929999999999993
"144",0.969999999999999
"145",0.950000000000003
"146",0.950000000000003
"147",1.03
"148",1.05
"149",1.09
"150",1.12
"151",0.989999999999995
"152",1.03
"153",1.03
"154",1.09
"155",1.09999999999999
"156",1.20999999999999
"157",1.17
"158",1.18000000000001
"159",1.19
"160",1.25
"161",1.23
"162",1.28
"163",1.19999999999999
"164",1.28
"165",1.21000000000001
"166",1.22
"167",1.16
"168",1.17
"169",1.20999999999999
"170",1.2
"171",1.28
"172",1.25
"173",1.26000000000001
"174",1.27
"175",1.25
"176",1.29000000000001
"177",1.3
"178",1.36999999999999
"179",1.37
"180",1.33
"181",1.35000000000001
"182",1.31
"183",1.33
"184",1.39
"185",1.34
"186",1.44999999999999
"187",1.42000000000002
"188",1.41999999999999
"189",1.41999999999999
"190",1.45000000000002
"191",1.47
"192",1.5
"193",1.51999999999998
"194",1.56
"195",1.45000000000002
"196",1.53
"197",1.56
"198",1.56
"199",1.57999999999998
"200",1.59
"201",1.58000000000001
"202",1.59999999999999
"203",1.66
"204",1.68000000000001
"205",1.64999999999998
"206",1.63000000000002
"207",1.63999999999999
"208",1.74000000000001
"209",1.69999999999999
"210",1.73000000000002
"211",1.75
"212",1.66
"213",1.75999999999999
"214",1.78999999999999
"215",1.80000000000001
"216",1.71000000000001
"217",1.78
"218",1.85999999999999
"219",1.84999999999999
"220",1.88
"221",1.85000000000002
"222",1.84
"223",1.95000000000002
"224",1.92999999999998
"225",1.94
"226",1.96000000000001
"227",1.91
"228",1.99000000000001
"229",2.02000000000001
"230",2.04999999999998
"231",2.03
"232",2.06
"233",2.14000000000001
"234",2.08999999999997
"235",2.17000000000002
"236",2.12
"237",2.11000000000001
"238",2.14999999999998
"239",2.14000000000001
"240",2.13999999999999
"241",2.21000000000001
"242",2.22
"243",2.15000000000001
"244",2.22
"245",2.31999999999999
"246",2.28999999999999
"247",2.25
"248",2.32000000000002
"249",2.35999999999999
"250",2.36000000000001
"251",2.37
"252",2.30999999999997
"253",2.41
"254",2.53000000000003
"255",2.39999999999998
"256",2.48000000000002
"257",2.56
"258",2.47999999999996
"259",2.44000000000005
"260",2.59999999999997
"261",2.54000000000002
"262",2.46999999999997
"263",2.59000000000003
"264",2.58999999999997
"265",2.65000000000003
"266",2.56999999999999
"267",2.63
"268",2.69
"269",2.56
"270",2.71999999999997
"271",2.71000000000004
"272",2.63999999999999
"273",2.67000000000002
"274",2.81
"275",2.70999999999998
"276",2.75
"277",2.81999999999999
"278",2.78999999999996
"279",2.79000000000002
"280",2.92000000000002
"281",2.80999999999995
"282",2.85000000000002
"283",2.97000000000003
"284",2.83999999999997
"285",2.99000000000001
"286",3.07999999999998
"287",2.90000000000003
"288",2.98999999999995
"289",3.09000000000003
"290",2.94999999999999
"291",3.06
"292",3.13
"293",3
"294",3.12
"295",3.18000000000001
"296",3.23000000000002
"297",3.28999999999996
"298",3.31999999999999
"299",3.25
"300",3.31
"301",3.31999999999999
"302",3.20000000000005
"303",3.39999999999998
"304",3.30000000000001
"305",3.33999999999997
"306",3.38999999999999
"307",3.37
"308",3.45000000000005
"309",3.50999999999999
"310",3.32999999999998
"311",3.47000000000003
"312",3.40999999999997
"313",3.48000000000002
"314",3.63999999999999
"315",3.55000000000001
"316",3.63999999999999
"317",3.50999999999999
"318",3.56
"319",3.75999999999999
"320",3.66000000000003
"321",3.81
"322",3.65999999999997
"323",3.73000000000002
"324",3.87
"325",3.73000000000002
