"","x"
"550",10184
"551",10210
"552",10234
"553",10256
"554",10270
"555",10286
"556",10312
"557",10338
"558",10364
"559",10390
"560",10416
"561",10438
"562",10456
"563",10472
"564",10498
"565",10524
"566",10550
"567",10576
"568",10600
"569",10618
"570",10628
"571",10650
"572",10676
"573",10702
"574",10728
"575",10750
"576",10766
"577",10784
"578",10810
"579",10836
"580",10860
"581",10878
"582",10888
"583",10902
"584",10924
"585",10946
"586",10964
"587",10978
"588",10990
"589",11004
"590",11016
"591",11036
"592",11060
"593",11084
"594",11106
"595",11126
"596",11144
"597",11158
"598",11170
"599",11192
"600",11218
"601",11244
"602",11270
"603",11296
"604",11322
"605",11348
"606",11368
"607",11380
"608",11396
"609",11422
"610",11448
"611",11474
"612",11500
"613",11526
"614",11552
"615",11576
"616",11596
"617",11614
"618",11640
"619",11666
"620",11692
"621",11718
"622",11744
"623",11770
"624",11792
"625",11806
"626",11820
"627",11842
"628",11868
"629",11894
"630",11920
"631",11946
"632",11972
"633",11998
"634",12020
"635",12034
"636",12046
"637",12068
"638",12094
"639",12120
"640",12146
"641",12172
"642",12198
"643",12224
"644",12250
"645",12272
"646",12288
"647",12314
"648",12340
"649",12366
"650",12392
"651",12418
"652",12444
"653",12470
"654",12496
"655",12516
"656",12524
"657",12542
"658",12568
"659",12594
"660",12620
"661",12646
"662",12672
"663",12698
"664",12724
"665",12750
"666",12768
"667",12786
"668",12812
"669",12838
"670",12864
"671",12890
"672",12916
"673",12942
"674",12968
"675",12992
"676",13008
"677",13024
"678",13050
"679",13076
"680",13102
"681",13128
"682",13154
"683",13180
"684",13204
"685",13224
"686",13234
"687",13254
"688",13280
"689",13306
"690",13332
"691",13358
"692",13384
"693",13410
"694",13432
"695",13446
"696",13470
"697",13496
"698",13522
"699",13548
"700",13574
"701",13600
"702",13624
"703",13640
"704",13656
"705",13682
"706",13708
"707",13734
"708",13760
"709",13786
"710",13812
"711",13834
"712",13848
"713",13862
"714",13886
"715",13912
"716",13938
"717",13964
"718",13990
"719",14014
"720",14032
"721",14052
"722",14078
"723",14104
"724",14130
"725",14156
"726",14178
"727",14194
"728",14220
"729",14246
"730",14270
"731",14292
"732",14306
"733",14326
"734",14348
"735",14368
"736",14384
"737",14398
"738",14412
"739",14430
"740",14448
"741",14464
"742",14478
"743",14496
"744",14520
"745",14546
"746",14572
"747",14598
"748",14622
"749",14644
"750",14660
"751",14674
"752",14698
"753",14724
"754",14750
"755",14776
"756",14802
"757",14828
"758",14854
"759",14874
"760",14892
"761",14918
"762",14944
"763",14970
"764",14996
"765",15022
"766",15048
"767",15074
"768",15092
"769",15106
"770",15128
"771",15154
"772",15180
"773",15206
"774",15232
"775",15258
"776",15284
"777",15308
"778",15324
"779",15344
"780",15370
"781",15396
"782",15422
"783",15448
"784",15474
"785",15500
"786",15526
"787",15548
"788",15564
"789",15588
"790",15614
"791",15640
"792",15666
"793",15692
"794",15718
"795",15744
"796",15770
"797",15788
"798",15798
"799",15818
"800",15844
"801",15870
"802",15896
"803",15922
"804",15948
"805",15974
"806",16000
"807",16026
"808",16044
"809",16056
"810",16078
"811",16104
"812",16130
"813",16156
"814",16182
"815",16208
"816",16234
"817",16260
"818",16284
"819",16300
"820",16320
"821",16346
"822",16372
"823",16398
"824",16424
"825",16450
"826",16476
"827",16500
"828",16520
"829",16540
"830",16566
"831",16592
"832",16618
"833",16644
"834",16670
"835",16696
"836",16718
"837",16732
"838",16756
"839",16782
"840",16808
"841",16834
"842",16860
"843",16886
"844",16912
"845",16930
"846",16946
"847",16972
"848",16998
"849",17024
"850",17050
"851",17076
"852",17102
"853",17126
"854",17142
"855",17164
"856",17190
"857",17216
"858",17242
"859",17268
"860",17292
"861",17312
"862",17330
"863",17356
"864",17382
"865",17408
"866",17434
"867",17456
"868",17470
"869",17484
"870",17508
"871",17534
"872",17560
"873",17584
"874",17602
"875",17620
"876",17642
"877",17664
"878",17682
