"","x"
"1",NA
"2",0
"3",33.3333333333333
"4",50
"5",30
"6",33.3333333333333
"7",33.3333333333333
"8",32.1428571428571
"9",25
"10",24.4444444444444
"11",25.4545454545455
"12",28.7878787878788
"13",30.7692307692308
"14",30.7692307692308
"15",28.5714285714286
"16",26.6666666666667
"17",24.2647058823529
"18",22.2222222222222
"19",21.0526315789474
"20",19.4736842105263
"21",19.047619047619
"22",18.6147186147186
"23",17.3913043478261
"24",17.0289855072464
"25",17
"26",16.6153846153846
"27",15.6695156695157
"28",15.3439153439153
"29",15.2709359605911
"30",15.1724137931034
"31",14.1935483870968
"32",13.7096774193548
"33",13.4469696969697
"34",13.3689839572193
"35",12.9411764705882
"36",12.8571428571429
"37",12.7627627627628
"38",12.375533428165
"39",12.280701754386
"40",12.0512820512821
"41",11.9512195121951
"42",11.9628339140534
"43",12.0708748615725
"44",12.0507399577167
"45",12.1212121212121
"46",11.8840579710145
"47",11.7483811285846
"48",11.790780141844
"49",11.4795918367347
"50",11.265306122449
"51",10.9019607843137
"52",10.7088989441931
"53",10.6676342525399
"54",10.6918238993711
"55",10.7744107744108
"56",10.8441558441558
"57",10.8395989974937
"58",10.7078039927405
"59",10.5786090005845
"60",10.6214689265537
"61",10.7650273224044
"62",10.8937070333157
"63",11.0599078341014
"64",11.2103174603175
"65",11.2980769230769
"66",11.2354312354312
"67",11.1261872455902
"68",11.1501316944688
"69",11.2105711849957
"70",11.1801242236025
"71",11.1468812877264
"72",11.1111111111111
"73",10.9969558599696
"74",10.9959274342836
"75",10.990990990991
"76",10.9122807017544
"77",10.9706083390294
"78",10.955710955711
"79",10.8081791626095
"80",10.5696202531646
"81",10.3086419753086
"82",10.0873230954532
"83",9.90302674111078
"84",9.81067125645439
"85",9.83193277310924
"86",9.93160054719562
"87",9.97059609730019
"88",9.92685475444096
"89",9.78038815117467
"90",9.61298377028714
"91",9.52380952380952
"92",9.48399426660296
"93",9.5137914913511
"94",9.58590711507664
"95",9.6528555431131
"96",9.64912280701754
"97",9.57903780068729
"98",9.44666526404376
"99",9.3382807668522
